,source_name,event_date,location_accuracy,landslide_category,landslide_trigger,landslide_size,fatality_count,country_name,country_code,longitude,latitude,continent
54,WRCBtv.com,2009-12-09,5km,mudslide,downpour,1,0.0,United States,US,-85.3697,35.0672,NA
55,WRCBtv.com,2009-12-09,5km,mudslide,downpour,1,0.0,United States,US,-85.3361,35.1052,NA
56,CNN,2010-01-01,25km,mudslide,downpour,3,22.0,Brazil,BR,-44.32249842,-23.01374445,SA
58,globo,2010-04-05,1km,landslide,downpour,2,0.0,Brazil,BR,-43.07409842,-22.89234445,SA
59,E-Pao,2010-07-29,25km,landslide,downpour,2,0.0,India,IN,94.48214677,25.3098633,AS
60,Dawn,2010-08-06,5km,landslide,downpour,2,0.0,Pakistan,PK,74.8609,36.6567,AS
61,The Freeman,2010-10-16,25km,landslide,tropical_cyclone,2,0.0,Philippines,PH,123.9153,10.395,AS
62,ibnlive.in,2011-07-21,25km,landslide,rain,2,1.0,India,IN,79.6367,29.7334,AS
63,The Freeman,2010-10-17,25km,landslide,tropical_cyclone,2,0.0,Philippines,PH,123.72,10.57,AS
64,The Freeman,2010-10-17,10km,landslide,tropical_cyclone,2,0.0,Philippines,PH,123.98,10.77,AS
65,Google Earth,2011-01-12,10km,mudslide,downpour,4,0.0,Brazil,BR,-42.6018,-22.2331,SA
66,Tribune India.com,2007-03-19,25km,landslide,rain,2,2.0,India,IN,74.3333,33.8778,AS
67,WCAX,2011-05-04,1km,mudslide,downpour,1,0.0,United States,US,-73.0562,44.9378,NA
68,IBN,2011-06-29,50km,landslide,downpour,2,0.0,India,IN,78.7963,30.7666,AS
69,asiantribune,2011-07-03,unknown,landslide,downpour,2,2.0,Nepal,NP,83.5754,27.7394,AS
70,www.abs-cbnnews.com,2013-07-21,5km,landslide,rain,2,0.0,Philippines,PH,123.8725,10.335,AS
71,asiantribune,2011-07-03,25km,landslide,downpour,2,0.0,Nepal,NP,83.2934,28.3683,AS
72,asiantribune,2011-07-03,5km,landslide,downpour,2,0.0,Nepal,NP,83.2934,28.0889,AS
74,ibnlive.in,2011-07-09,50km,landslide,downpour,2,0.0,India,IN,78.5925,30.7652,AS
75,ibnlive.in,2011-07-09,25km,landslide,downpour,2,0.0,India,IN,79.0685,30.7331,AS
76,ibnlive.in,2011-07-09,25km,landslide,downpour,2,0.0,India,IN,78.4129,31.0188,AS
79,latino.foxnews,2011-07-16,unknown,mudslide,downpour,2,0.0,Brazil,BR,-36.9541,-8.8137,SA
80,Republic the Philippines Mines & Geosciences Bureau,2012-02-14,10km,landslide,downpour,2,0.0,Philippines,PH,123.92,10.39,AS
81,latino.foxnews,2011-07-16,5km,mudslide,downpour,2,1.0,Brazil,BR,-34.8813,-8.0543,SA
82,ibnlive.in,2011-07-21,25km,landslide,rain,2,1.0,India,IN,79.3318,30.4043,AS
83,china,2011-07-22,50km,landslide,tropical_cyclone,2,0.0,Mexico,MX,-103.7244,19.2444,NA
84,china,2011-07-22,unknown,landslide,tropical_cyclone,2,0.0,Mexico,MX,-99.538,17.4974,NA
86,china,2011-07-22,unknown,landslide,tropical_cyclone,2,0.0,Mexico,MX,-101.7023,19.5805,NA
87,BusinessWorld Online,2012-02-16,25km,landslide,downpour,2,0.0,Philippines,PH,124.9705,10.6073,AS
88,kirotv,2009-11-17,5km,mudslide,downpour,1,0.0,Canada,CA,-122.8001,49.0229,NA
89,china,2011-07-22,unknown,landslide,tropical_cyclone,2,0.0,Mexico,MX,-104.8334,21.7595,NA
90,postindependent,2011-07-30,10km,mudslide,rain,1,0.0,United States,US,-107.1291,39.4274,NA
91,postindependent,2011-07-30,10km,mudslide,rain,1,0.0,United States,US,-107.2225,39.4977,NA
92,China.org.cn,2011-09-17,5km,landslide,downpour,2,7.0,Nepal,NP,82.6474,28.3875,AS
94,Republic the Philippines Mines & Geosciences Bureau,2012-02-14,10km,landslide,downpour,2,0.0,Philippines,PH,123.89,10.37,AS
95,Republic the Philippines Mines & Geosciences Bureau,2012-02-14,10km,landslide,downpour,2,0.0,Philippines,PH,123.91,10.42,AS
99,Hindustan Times,2012-09-19,10km,landslide,downpour,3,20.0,India,IN,88.556,27.8385,AS
105,Newsroom Panama,2013-05-28,5km,landslide,downpour,2,0.0,Panama,PA,-79.8897,9.3381,NA
106,Newsroom Panama,2013-05-28,5km,landslide,downpour,2,0.0,Panama,PA,-79.9029,9.3581,NA
107,The Indian EXPRESS,2013-06-16,50km,landslide,rain,2,0.0,India,IN,78.3881,30.4954,AS
108,The Indian EXPRESS,2013-06-16,50km,landslide,rain,2,0.0,India,IN,78.6695,30.885,AS
109,The Indian EXPRESS,2013-06-16,50km,landslide,rain,2,0.0,India,IN,80.417,29.7986,AS
111,Nelson Star,2013-06-19,5km,mudslide,downpour,2,0.0,Canada,CA,-116.9044,50.0023,NA
113,timesofindia.indiatimes.com,2013-06-25,unknown,landslide,downpour,2,0.0,India,IN,77.5947,10.9628,AS
116,The Hindu,2013-07-17,50km,mudslide,rain,2,0.0,India,IN,93.9413,25.7658,AS
118,The Hindu,2013-07-17,50km,mudslide,rain,2,0.0,India,IN,94.0885,25.7131,AS
119,www.abs-cbnnews.com,2013-07-21,5km,landslide,rain,2,0.0,Philippines,PH,123.88799999999999,10.329,AS
121,Austrian Times,2013-10-09,10km,landslide,rain,2,1.0,Austria,AT,12.3966,47.446000000000005,EU
122,The San Diego Union-Tribune,2015-05-17,1km,landslide,rain,2,0.0,Mexico,MX,-117.0898,32.5196,NA
435,Kent Online,2016-10-01,1km,landslide,downpour,2,0.0,United Kingdom,GB,0.8546,51.4216,EU
437,The Northlines,2015-04-02,1km,landslide,continuous_rain,2,0.0,India,IN,74.4725,34.1587,AS
439,East County Magazine,2015-07-19,1km,landslide,downpour,1,0.0,United States,US,-116.9029,33.0742,NA
440,azteca noticias,2015-10-21,25km,landslide,rain,2,0.0,Mexico,MX,-92.2523,15.3482,NA
441,Relief Web,2014-09-01,50km,landslide,rain,2,2.0,Philippines,PH,125.1335,7.7211,AS
442,reliefweb,2014-10-15,5km,landslide,continuous_rain,2,0.0,El Salvador,SV,-89.7739,13.7895,NA
443,www.brecorder.com,2013-07-29,50km,landslide,monsoon,2,1.0,Thailand,TH,99.7817,19.9282,AS
444,www.panarmenian.net,2013-08-18,5km,landslide,rain,2,3.0,China,CN,111.2768,23.4946,AS
445,reuters,2011-12-23,5km,landslide,downpour,2,0.0,Colombia,CO,-75.6621,4.8349,SA
446,wlwt,2011-04-25,1km,landslide,downpour,1,0.0,United States,US,-84.4953,39.1075,NA
447,jamaicaobserver,2010-09-28,25km,landslide,downpour,2,0.0,Jamaica,JM,-76.4394,18.0083,NA
460,The Times,2007-01-02,5km,landslide,rain,2,1.0,United Kingdom,GB,-3.5875,54.5494,EU
461,Deutsche Presse-Agentur - MonstersandCritics,2007-01-05,10km,landslide,rain,2,2.0,Brazil,BR,-42.6734,-22.0452,SA
462,Deutsche Presse-Agentur - MonstersandCritics,2007-01-05,25km,landslide,rain,3,7.0,Brazil,BR,-42.53636205,-22.28234635,SA
464,irontontribune,2010-05-10,1km,landslide,downpour,2,0.0,United States,US,-82.6276,38.6198,NA
467,sunstar,2011-12-27,5km,landslide,downpour,2,0.0,Philippines,PH,123.97,10.37,AS
468,pittsburghlive,2011-05-17,1km,landslide,downpour,1,0.0,United States,US,-79.8375,40.6573,NA
469,GMA News Online,2016-03-03,25km,landslide,flooding,2,0.0,Philippines,PH,121.6979,14.2282,AS
470,Castlegar News,2015-02-15,10km,landslide,rain,1,0.0,Canada,CA,-117.6744,49.3729,NA
471,ABS CBN News.com,2014-01-23,10km,landslide,downpour,2,0.0,Philippines,PH,120.8221,18.5875,AS
472,Interaksyon,2014-01-11,5km,landslide,tropical_cyclone,2,0.0,Philippines,PH,125.0725,11.5515,AS
473,Sun Star Cagayan de Oro,2014-01-17,10km,landslide,tropical_cyclone,2,0.0,Philippines,PH,124.7212,8.4406,AS
475,Times of India,2011-06-27,unknown,landslide,rain,2,0.0,India,IN,75.2565,12.6771,AS
476,JSChina,2012-08-28,25km,landslide,downpour,3,32.0,Pakistan,PK,71.5447,34.0051,AS
479,www.utsandiego.com,2013-02-17,5km,landslide,rain,4,15.0,Indonesia,ID,124.868,1.4808,AS
481,Island Echo,2014-01-21,1km,landslide,downpour,1,0.0,United Kingdom,GB,-1.55,50.6723,EU
482,picasaweb.google,2010-04-05,10km,landslide,downpour,2,0.0,Peru,PE,-71.4216,-12.9655,SA
483,www.krem.com,2013-09-05,1km,mudslide,downpour,2,0.0,United States,US,-117.6865,47.8907,NA
484,www.weatheronline.co.uk,2013-12-07,1km,mudslide,downpour,2,16.0,Brazil,BR,-40.9044,-12.3546,SA
486,www.telegraph.co.uk,2013-12-03,1km,landslide,downpour,2,0.0,Italy,IT,16.6525,40.5452,EU
487,news.smashits,2008-10-04,25km,mudslide,downpour,2,7.0,Peru,PE,-70.4,-14.0,SA
488,Twin Cities,2014-06-20,exact,mudslide,continuous_rain,1,0.0,United States,US,-93.0553,44.9459,NA
489,thejakartapost,2011-04-20,50km,landslide,downpour,2,4.0,Indonesia,ID,106.7732,-6.584,AS
490,heraldnet,2010-12-13,1km,landslide,downpour,1,0.0,United States,US,-122.3101,48.0079,NA
491,kesq,2010-02-25,5km,complex,rain,1,0.0,United States,US,-116.8721,33.9062,NA
492,mdn.mainichi,2010-07-12,exact,mudslide,downpour,2,0.0,Japan,JP,132.7681,33.8426,AS
495,maps.google.com,2010-04-06,exact,landslide,downpour,2,0.0,Brazil,BR,-43.2212,-22.5232,SA
497,bbc,2011-04-03,5km,complex,rain,1,0.0,United Kingdom,GB,-3.8666,52.6901,EU
498,Press TV,2007-10-15,5km,mudslide,rain,2,3.0,Bangladesh,BD,89.4,22.5333,AS
500,pia,2011-01-07,unknown,landslide,continuous_rain,2,1.0,Philippines,PH,125.5339,9.1196,AS
502,samaylive,2009-08-17,25km,landslide,continuous_rain,2,0.0,India,IN,80.1327,29.4085,AS
505,www.dailymail.co.uk,2013-02-19,1km,rock_fall,mining,2,5.0,China,CN,107.9326,26.6579,AS
506,mrnewsbreaker,2010-07-29,25km,landslide,downpour,2,0.0,Pakistan,PK,75.6355,35.3585,AS
510,Fox 40,2016-03-13,5km,mudslide,downpour,1,0.0,United States,US,-120.4218,38.7987,NA
511,vietnamnews.vnagency,2010-12-06,50km,landslide,downpour,2,0.0,Vietnam,VN,108.7431,14.8315,AS
513,Daily Post,2015-05-12,1km,mudslide,no_apparent_trigger,1,0.0,United Kingdom,GB,-3.3002,53.3297,EU
515,Inquirer.net,2014-01-12,5km,landslide,tropical_cyclone,3,23.0,Philippines,PH,123.304,8.4987,AS
517,maps.google.com,2010-04-06,1km,mudslide,downpour,2,0.0,Brazil,BR,-43.2394,-22.9033,SA
518,KOMO,2015-03-16,5km,landslide,rain,1,0.0,United States,US,-122.376,47.7166,NA
519,livinginperu,2009-12-29,5km,mudslide,downpour,2,0.0,Peru,PE,-71.48899999999999,-15.345,SA
524,E-PAO,2015-08-01,5km,landslide,continuous_rain,2,0.0,India,IN,94.1078,24.1419,AS
525,13wham,2010-07-13,10km,complex,downpour,2,0.0,United States,US,-77.5191,42.7167,NA
527,saigon-gpdaily,2011-06-26,unknown,landslide,downpour,3,0.0,Vietnam,VN,105.3131,19.9436,AS
528,www.weather.com,2013-07-18,5km,mudslide,downpour,2,0.0,United States,US,-106.4031,39.5672,NA
530,Shanghaiist,2014-08-27,1km,landslide,rain,3,22.0,China,CN,107.3407,26.9226,AS
532,en.mercopress,2010-01-23,25km,mudslide,downpour,2,2.0,Peru,PE,-72.3902,-13.2122,SA
537,The Indian EXPRESS,2013-06-16,25km,landslide,rain,2,0.0,India,IN,79.0765,30.4619,AS
538,dailypioneer,2012-07-05,1km,landslide,downpour,3,1.0,India,IN,78.3221,30.1281,AS
539,reliefweb,2010-10-07,5km,landslide,downpour,2,0.0,Pakistan,PK,73.4637,34.6644,AS
543,in.ibtimes,2008-10-20,25km,mudslide,tropical_cyclone,3,29.0,Honduras,HN,-87.2137,14.107999999999999,NA
544,maps.google.com,2010-04-06,1km,landslide,downpour,2,0.0,Brazil,BR,-43.288000000000004,-23.0099,SA
546,marinij,2011-03-24,1km,mudslide,downpour,1,0.0,United States,US,-122.54700000000001,37.9768,NA
548,dnaindia,2010-07-22,10km,landslide,downpour,2,0.0,India,IN,75.203,33.3893,AS
549,www.theadvocate.com.au,2013-08-13,1km,mudslide,rain,1,0.0,Australia,AU,145.8596,-41.0415,OC
550,news.xinhuanet,2011-06-10,25km,landslide,downpour,3,20.0,China,CN,113.5578,29.3046,AS
553,google,2010-09-10,1km,mudslide,downpour,2,0.0,Italy,IT,14.6074,40.6378,EU
554,maps.google.com,2010-04-06,1km,landslide,downpour,2,0.0,Brazil,BR,-43.0783,-22.8887,SA
555,Tribun Jambi,2015-06-03,5km,landslide,no_apparent_trigger,2,3.0,Indonesia,ID,115.5442,-8.7401,AS
558,skynews,2012-03-19,5km,landslide,downpour,2,0.0,Australia,AU,145.6506,-16.73,OC
560,thehindu,2010-09-25,25km,landslide,downpour,2,0.0,India,IN,75.2382,33.241,AS
561,kuenselonline,2010-08-23,5km,landslide,downpour,2,0.0,Bhutan,BT,90.5034,27.5,AS
562,International Herald,2007-10-11,50km,landslide,rain,3,10.0,Costa Rica,CR,-83.9451,10.0214,NA
563,reliefweb,2014-10-15,10km,landslide,continuous_rain,2,0.0,El Salvador,SV,-88.0843,13.293,NA
566,www.deccanchronicle.com,2013-11-13,5km,landslide,downpour,2,0.0,India,IN,77.009,8.4557,AS
567,news,2011-11-26,5km,landslide,downpour,2,3.0,Vietnam,VN,108.8115,15.1257,AS
568,Daily Breeze,2014-11-01,1km,debris_flow,rain,1,0.0,United States,US,-117.6767,34.2008,NA
569,happyghana,2008-10-06,unknown,landslide,downpour,2,3.0,Ghana,GH,-0.0798,6.011,AF
570,www.assamtribune.com,2013-07-12,10km,landslide,downpour,2,0.0,India,IN,94.1167,25.616,AS
572,edition.cnn,2009-09-15,5km,mudslide,downpour,2,3.0,Mexico,MX,-99.2398,19.3161,NA
573,radiofiji,2011-06-27,25km,landslide,downpour,3,0.0,Fiji,FJ,178.4779,-17.8893,OC
574,messenger,2011-06-14,25km,landslide,downpour,2,0.0,Georgia,GE,44.8448,41.9757,AS
575,Direction Kathmandu,2015-08-16,1km,landslide,rain,2,0.0,Nepal,NP,83.6182,28.2576,AS
576,ibnlive.in,2011-06-17,5km,landslide,downpour,2,0.0,India,IN,77.9798,31.5639,AS
577,mdn.mainichi,2011-05-30,unknown,landslide,tropical_cyclone,1,0.0,Japan,JP,141.7315,39.407,AS
579,Tribune,2015-08-22,5km,landslide,downpour,2,0.0,India,IN,77.1213,31.0365,AS
580,China.org,2016-07-09,50km,mudslide,tropical_cyclone,2,0.0,China,CN,119.0562,26.314,AS
581,Saudi Gazette,2016-08-11,50km,landslide,downpour,2,0.0,Saudi Arabia,SA,43.1666,17.4012,AS
582,kbc,2010-04-30,10km,landslide,downpour,3,16.0,Kenya,KE,35.5842,1.2495,AF
583,ibnlive.in.com,2013-07-28,5km,mudslide,downpour,1,1.0,India,IN,78.6149,30.819000000000003,AS
586,South Whidbey Record,2014-09-26,1km,landslide,continuous_rain,1,0.0,United States,US,-122.3657,47.9918,NA
587,newpaper.asia1,2008-10-07,10km,landslide,flooding,2,1.0,Malaysia,MY,101.699,3.19,AS
588,stuff,2011-12-17,1km,landslide,downpour,2,3.0,New Zealand,NZ,173.9534,-39.1144,OC
590,yementimes,2012-08-10,5km,landslide,downpour,3,6.0,Yemen,YE,43.7955,16.9664,AS
592,journal,2010-12-29,5km,landslide,downpour,2,2.0,Philippines,PH,123.8421,13.1004,AS
593,24 News Agency,2016-06-29,25km,mudslide,downpour,2,0.0,Kyrgyzstan,KG,73.1415,41.7649,AS
594,ABC 7,2014-12-12,25km,mudslide,downpour,1,0.0,United States,US,-117.7994,34.2062,NA
595,seattletimes.nwsource,2011-01-19,5km,mudslide,downpour,2,0.0,United States,US,-122.2619,47.9582,NA
596,wkyt,2011-05-01,5km,landslide,downpour,1,0.0,United States,US,-83.0638,36.9284,NA
597,Daily Mail,2015-08-08,10km,debris_flow,tropical_cyclone,2,0.0,Taiwan,TW,121.5399,25.0857,AS
600,Thanh Nien News,2010-11-04,25km,landslide,downpour,2,0.0,Vietnam,VN,108.9881,11.989,AS
601,news.brunei,2010-01-18,25km,landslide,downpour,2,0.0,Brunei,BN,115.1648,4.5864,AS
602,Pekin Daily Times,2013-04-18,exact,landslide,rain,1,0.0,United States,US,-89.5567,40.6545,NA
603,Al Jazeera,2016-09-17,unknown,mudslide,downpour,3,2.0,China,CN,114.0945,22.6194,AS
605,english.peopledaily,2011-04-24,unknown,landslide,downpour,2,7.0,Ecuador,EC,-78.4359,-2.0398,SA
606,WKYT,2015-04-03,1km,mudslide,downpour,1,0.0,United States,US,-82.4939,37.4264,NA
607,hisz.rsoe,2011-10-22,25km,landslide,downpour,2,0.0,Ireland,IE,-9.87,52.1596,EU
610,thehimalayantimes,2010-08-23,10km,landslide,downpour,2,0.0,Nepal,NP,83.88,27.59,AS
612,theumpquapost,2011-01-16,50km,landslide,downpour,2,0.0,United States,US,-123.6521,43.6712,NA
613,BBC,2011-12-14,1km,landslide,downpour,2,0.0,United Kingdom,GB,-7.332155031,54.99913875,EU
615,articles.timesofindia,2011-09-25,1km,landslide,downpour,2,0.0,India,IN,88.255,27.0605,AS
617,e-pao.net,2010-10-08,5km,mudslide,downpour,2,0.0,India,IN,94.1351,25.4769,AS
618,Saudi Gazette,2016-08-11,25km,landslide,downpour,2,0.0,Saudi Arabia,SA,43.1066,17.2635,AS
619,twocircles.net,2012-08-18,25km,landslide,downpour,2,2.0,China,CN,102.1778,28.1018,AS
620,beacononline.wordpress,2009-07-03,10km,landslide,rain,2,0.0,India,IN,88.29184021,26.87324244,AS
621,thejakartapost,2010-12-13,5km,landslide,downpour,2,0.0,Indonesia,ID,115.1374,-8.1913,AS
622,King 5,2015-01-05,5km,mudslide,rain,1,0.0,United States,US,-123.7858,46.6689,NA
624,Orane Star Africa News,2014-06-10,10km,landslide,continuous_rain,1,12.0,Ivory Coast,CI,-4.0351,5.314,AF
625,thehindu,2010-08-09,5km,landslide,downpour,2,1.0,India,IN,75.7627,33.334,AS
627,Kantipuronline.com,2007-08-19,25km,landslide,rain,2,11.0,Nepal,NP,85.0249,27.4211,AS
628,sciencythoughts.blogspot.com,2013-08-05,unknown,landslide,continuous_rain,2,8.0,China,CN,110.8522,37.0016,AS
629,balita.ph,2010-12-09,25km,landslide,downpour,2,0.0,Philippines,PH,124.8955,6.1458,AS
632,hisz.rsoe,2008-06-29,5km,landslide,downpour,2,7.0,Ivory Coast,CI,-4.05,5.4833,AF
633,google,2011-07-04,25km,landslide,downpour,3,6.0,Nepal,NP,83.8713,28.9743,AS
634,Viet Nam News,2010-11-11,unknown,landslide,downpour,2,0.0,Vietnam,VN,108.3008,15.3012,AS
636,helenair.com,2010-08-10,1km,mudslide,rain,1,0.0,United States,US,-111.7619,46.6637,NA
637,Natural Resources Canada,2007-07-22,50km,landslide,rain,2,4.0,China,CN,98.4802,25.1424,AS
639,Yakima Herald,2013-09-05,5km,debris_flow,downpour,2,0.0,United States,US,-120.9229,46.8218,NA
641,China Daily,2014-08-12,50km,landslide,downpour,2,5.0,China,CN,114.1384,26.6378,AS
642,tribune.com,2010-08-05,10km,landslide,downpour,2,0.0,Pakistan,PK,74.158,36.1788,AS
643,punemirror,2010-06-15,5km,landslide,downpour,1,0.0,India,IN,73.3747,18.7624,AS
644,dnaindia,2010-07-19,50km,landslide,monsoon,2,0.0,Nepal,NP,81.7191,29.0399,AS
645,thehindu,2012-01-12,10km,landslide,downpour,2,0.0,India,IN,75.2373,33.2407,AS
648,abs-cbnnews,2010-10-18,5km,landslide,tropical_cyclone,2,0.0,Philippines,PH,121.2194,17.9209,AS
649,United Nations Development Programme - Relief Web,2007-10-29,5km,mudslide,tropical_cyclone,2,3.0,Dominican Republic,DO,-70.044,18.427,NA
650,mb,2011-07-26,5km,landslide,downpour,2,5.0,Philippines,PH,122.7663,14.2245,AS
652,ABC,2008-09-08,25km,complex,dam_embankment_collapse,4,277.0,China,CN,111.5837,35.8853,AS
653,prokerala,2009-08-20,25km,landslide,downpour,2,0.0,India,IN,93.1645,25.5215,AS
654,newsday.tt,2010-11-27,5km,landslide,downpour,2,0.0,Trinidad and Tobago,TT,-61.5335,10.6834,NA
655,Kashmir Times,2015-07-12,10km,landslide,continuous_rain,2,0.0,India,IN,75.2845,33.2049,AS
657,eatdrinkexplore,2012-01-22,10km,landslide,rain,1,0.0,United States,US,-119.7538,37.7289,NA
658,gns,2013-01-05,exact,rock_fall,earthquake,1,0.0,New Zealand,NZ,170.1797,-43.5698,OC
659,greaterkashmir,2011-02-16,25km,landslide,downpour,2,0.0,India,IN,75.244,33.2609,AS
660,CCTV,2015-06-24,1km,landslide,continuous_rain,2,1.0,China,CN,109.8971,31.0918,AS
661,Jamaica Gleaner,2016-07-29,5km,landslide,continuous_rain,2,0.0,Jamaica,JM,-77.0428,18.2031,NA
663,articles.timesofindia,2011-07-15,5km,landslide,downpour,2,1.0,India,IN,77.2181,32.3491,AS
664,news.bbc,2010-01-01,1km,landslide,downpour,3,12.0,Brazil,BR,-44.3228,-23.0085,SA
665,philstar,2010-06-20,25km,landslide,downpour,2,0.0,Philippines,PH,124.3113,7.5048,AS
666,slidingthought.wordpress,2009-11-17,5km,landslide,downpour,1,0.0,United States,US,-122.3793,47.7628,NA
670,telluridewatch,2010-07-26,5km,mudslide,downpour,2,0.0,United States,US,-108.0383,38.0053,NA
671,Energetic City,2016-06-15,1km,mudslide,downpour,2,0.0,Canada,CA,-121.8022,56.1127,NA
673,dominicanewsonline.com,2013-12-24,5km,landslide,downpour,2,0.0,Dominica,DM,-61.3583,15.2174,NA
674,print.dailymirror,2011-02-07,25km,landslide,downpour,2,0.0,Sri Lanka,LK,81.1079,7.0381,AS
677,nation,2010-05-06,25km,mudslide,downpour,2,0.0,Kenya,KE,37.07,-0.7978,AF
678,hearld-mail,2011-04-17,5km,mudslide,downpour,2,0.0,United States,US,-77.4274,39.6526,NA
679,alertnet,2010-08-06,50km,landslide,downpour,4,234.0,India,IN,77.4871,34.1416,AS
681,Deseret News,2014-06-19,5km,mudslide,rain,1,0.0,Bulgaria,BG,27.912,43.2022,EU
682,The Star,2015-10-01,5km,landslide,mining,2,4.0,Kenya,KE,37.6538,0.0487,AF
683,thejakartapost,2010-12-13,unknown,landslide,downpour,2,0.0,Indonesia,ID,115.087,-8.3251,AS
684,news.au,2008-04-20,25km,mudslide,rain,2,3.0,Haiti,HT,-72.3224,18.5283,NA
